Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2014-10-12,Gone Girl,2014,http://letterboxd.com/samarthbhaskar/film/gone-girl/,3.5,,2014-10-06
2014-10-12,"Men, Women & Children",2014,http://letterboxd.com/samarthbhaskar/film/men-women-children/,3,,2014-10-10
2014-10-14,Inherent Vice,2014,http://letterboxd.com/samarthbhaskar/film/inherent-vice/,4,,2014-10-12
2014-10-19,Birdman,2014,http://letterboxd.com/samarthbhaskar/film/birdman/,3,,2014-10-17
2014-10-28,Kill Bill: Vol. 1,2003,http://letterboxd.com/samarthbhaskar/film/kill-bill-vol-1/,3.5,,2014-10-26
2014-10-28,Kill Bill: Vol. 2,2004,http://letterboxd.com/samarthbhaskar/film/kill-bill-vol-2/,3,,2014-10-26
2014-11-02,Nightcrawler,2014,http://letterboxd.com/samarthbhaskar/film/nightcrawler/,4,,2014-10-31
2014-11-11,Interstellar,2014,http://letterboxd.com/samarthbhaskar/film/interstellar/,3,,2014-11-08
2014-12-07,Force Majeure,2014,http://letterboxd.com/samarthbhaskar/film/force-majeure-2014/,3.5,,2014-12-06
2014-12-14,Top Five,2014,http://letterboxd.com/samarthbhaskar/film/top-five/,3.5,,2014-12-13
2014-12-15,Citizenfour,2014,http://letterboxd.com/samarthbhaskar/film/citizenfour/,2.5,,2014-12-14
2014-12-30,Only Lovers Left Alive,2013,http://letterboxd.com/samarthbhaskar/film/only-lovers-left-alive/,3,,2014-12-28
2014-12-30,Life Itself,2014,http://letterboxd.com/samarthbhaskar/film/life-itself/,5,,2014-12-28
2015-01-04,Selma,2014,http://letterboxd.com/samarthbhaskar/film/selma/,5,,2015-01-01
2015-01-28,Frank,2014,http://letterboxd.com/samarthbhaskar/film/frank-2014/,3,,2015-01-24
2015-01-28,Nebraska,2013,http://letterboxd.com/samarthbhaskar/film/nebraska/,3.5,,2015-01-27
2015-02-01,Chinatown,1974,http://letterboxd.com/samarthbhaskar/film/chinatown/,5,,2015-01-31
2015-02-04,Ida,2013,http://letterboxd.com/samarthbhaskar/film/ida/,4,,2015-02-02
2015-02-04,Enemy,2013,http://letterboxd.com/samarthbhaskar/film/enemy/,3,,2015-02-03
